timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-01-26 14:05:49;S02;1;Binaural;Music;3;197,1;1,5;26,010;-25,997;-1,005;6,277;0,6;0,1;0,6;0
2026-01-26 14:06:01;S02;2;Binaural;Voice;2;144,5;-0,8;60,484;57,143;22,648;3,780;0,4;0,3;0,2;0
2026-01-26 14:06:28;S02;3;Binaural;Tone;1;24,8;24,4;45,176;-33,595;-30,989;7,132;0,6;0,6;0,3;0
2026-01-26 14:06:43;S02;4;HOA4thOrder;Music;3;183,9;25,7;49,047;-42,758;-25,869;5,854;0,3;0,1;0,2;0
2026-01-26 14:06:56;S02;5;HOA4thOrder;Tone;1;39,3;-37,9;81,997;-90,951;27,508;5,672;0,3;0,3;0,2;0
2026-01-26 14:07:08;S02;6;HOA3rdOrder;Tone;3;252,9;58,3;34,929;9,291;-34,212;4,594;0,2;0,1;0,2;0
2026-01-26 14:07:20;S02;7;HOA3rdOrder;Music;1;41,0;25,1;90,783;-90,527;-24,649;5,653;0,2;0,2;0,2;0
2026-01-26 14:07:32;S02;8;HOA3rdOrder;Music;4;338,3;47,8;49,330;-24,225;-44,565;5,764;0,4;0,1;0,3;0
2026-01-26 14:07:44;S02;9;HOA4thOrder;Voice;4;359,3;-21,8;40,971;0,772;40,964;5,402;0,2;0,1;0,2;0
2026-01-26 14:07:56;S02;10;Binaural;Voice;3;197,1;27,9;52,043;-28,953;-43,758;5,945;0,5;0,4;0,2;0
2026-01-26 14:08:10;S02;11;Binaural;Music;4;335,9;80,5;104,855;57,022;-100,679;5,137;0,5;0,5;0,2;0
2026-01-26 14:08:26;S02;12;Binaural;Voice;1;25,3;-47,8;64,708;-18,849;62,558;7,835;0,7;0,5;0,5;0
2026-01-26 14:08:42;S02;13;HOA4thOrder;Music;1;52,1;-10,9;86,784;-90,468;-2,454;7,874;0,9;0,3;0,9;0
2026-01-26 14:08:55;S02;14;HOA4thOrder;Tone;3;244,1;-52,4;64,909;-19,914;62,583;5,468;0,7;0,6;0,2;0
2026-01-26 14:09:06;S02;15;HOA3rdOrder;Voice;1;62,1;60,6;34,607;17,218;-32,563;5,132;0,6;0,3;0,2;0
2026-01-26 14:09:19;S02;16;Binaural;Tone;2;111,6;-48,0;39,890;10,277;38,979;5,294;0,7;0,5;0,7;0
2026-01-26 14:09:36;S02;17;HOA3rdOrder;Music;2;136,0;-17,2;23,453;22,431;9,007;9,252;0,5;0,4;0,4;0
2026-01-26 14:09:48;S02;18;HOA3rdOrder;Tone;4;322,5;13,8;51,364;52,474;-0,131;4,934;0,4;0,4;0,3;0
2026-01-26 14:10:02;S02;19;HOA3rdOrder;Voice;3;198,3;23,0;12,151;-7,423;-9,824;6,213;0,4;0,3;0,4;0
2026-01-26 14:10:29;S02;20;HOA4thOrder;Music;4;346,8;89,6;34,319;-95,630;-33,724;19,016;0,6;0,2;0,6;0
2026-01-26 14:10:43;S02;21;HOA3rdOrder;Tone;1;56,0;35,4;90,848;-107,572;-12,997;4,616;1,5;0,2;1,5;0
2026-01-26 14:10:54;S02;22;HOA3rdOrder;Music;3;202,2;-41,4;93,794;-78,780;59,624;4,907;0,7;0,5;0,5;0
2026-01-26 14:11:05;S02;23;HOA4thOrder;Tone;4;342,3;-20,5;52,862;12,735;51,419;3,513;1,1;0,4;0,8;0
2026-01-26 14:11:21;S02;24;HOA4thOrder;Voice;2;115,1;-12,1;97,592;90,876;43,021;9,407;0,8;0,7;0,4;0
2026-01-26 14:11:35;S02;25;HOA4thOrder;Music;2;152,8;63,3;76,328;51,725;-65,401;5,762;0,8;0,3;0,7;0
2026-01-26 14:11:46;S02;26;HOA4thOrder;Tone;2;120,8;-48,7;102,738;105,969;54,286;4,795;0,5;0,4;0,3;0
2026-01-26 14:11:54;S02;27;HOA3rdOrder;Tone;2;162,9;-49,0;57,881;23,478;54,188;3,200;0,4;0,3;0,2;0
2026-01-26 14:12:06;S02;28;Binaural;Music;1;55,9;-14,2;18,268;-18,105;5,119;5,850;0,3;0,2;0,2;0
2026-01-26 14:12:18;S02;29;HOA3rdOrder;Voice;4;271,6;17,4;23,833;-8,385;22,639;3,624;0,4;0,4;0,3;0
2026-01-26 14:12:30;S02;30;Binaural;Tone;4;328,0;2,4;44,637;44,490;4,143;6,370;0,3;0,3;0,2;0
2026-01-26 14:12:44;S02;31;HOA4thOrder;Voice;1;77,2;-18,5;138,493;-135,687;40,525;5,872;0,4;0,3;0,3;0
2026-01-26 14:12:56;S02;32;Binaural;Voice;4;279,0;38,0;105,577;100,985;-46,976;6,908;0,5;0,4;0,2;0
2026-01-26 14:13:13;S02;33;Binaural;Music;2;102,8;86,8;29,045;-42,338;-27,918;10,127;0,6;0,2;0,6;0
2026-01-26 14:13:25;S02;34;Binaural;Tone;3;245,3;-30,6;84,522;-90,125;20,644;4,728;0,6;0,6;0,2;0
2026-01-26 14:13:35;S02;35;HOA3rdOrder;Voice;2;130,0;18,0;25,030;23,529;12,438;4,479;0,4;0,3;0,2;0
2026-01-26 14:13:47;S02;36;HOA4thOrder;Voice;3;257,2;-27,2;174,571;-178,191;52,167;5,849;1,1;0,2;1,1;0
