timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-01-29 10:40:08;S12;1;Binaural;Tone;4;319,5;22,7;37,789;30,709;-22,887;3,528;0,9;0,5;0,2;0
2026-01-29 10:40:26;S12;2;HOA4thOrder;Tone;2;118,8;-20,8;19,964;-7,296;18,670;4,437;0,8;0,5;0,6;0
2026-01-29 10:40:37;S12;3;HOA4thOrder;Music;4;354,7;4,5;59,866;59,242;-9,238;5,263;1,0;0,4;0,9;0
2026-01-29 10:40:49;S12;4;Binaural;Music;4;354,9;77,9;86,765;-17,741;-86,194;5,875;0,9;0,8;0,6;0
2026-01-29 10:40:57;S12;5;HOA4thOrder;Voice;4;289,0;-43,6;37,147;19,219;33,183;3,084;1,4;0,3;1,3;0
2026-01-29 10:41:05;S12;6;HOA3rdOrder;Music;2;140,8;-14,8;6,671;-6,252;2,827;2,904;1,1;0,5;1,0;0
2026-01-29 10:41:13;S12;7;HOA3rdOrder;Tone;2;176,8;-44,6;34,990;-4,118;34,809;2,749;1,0;0,4;0,9;0
2026-01-29 10:41:24;S12;8;HOA3rdOrder;Voice;2;132,3;-48,5;103,499;130,023;37,482;1,578;0,5;0,3;0,3;0
2026-01-29 10:41:33;S12;9;HOA4thOrder;Music;1;31,1;12,7;23,368;-5,566;-22,704;5,640;0,4;0,2;0,4;0
2026-01-29 10:41:41;S12;10;HOA4thOrder;Voice;2;98,5;89,1;100,623;68,731;-99,539;2,633;1,4;0,4;1,2;0
2026-01-29 10:41:49;S12;11;HOA3rdOrder;Voice;3;187,1;-58,2;55,296;39,430;46,452;2,029;0,9;0,3;0,8;0
2026-01-29 10:41:59;S12;12;Binaural;Tone;3;256,2;15,1;81,826;-78,776;-24,261;5,062;0,6;0,4;0,3;0
2026-01-29 10:42:08;S12;13;HOA3rdOrder;Tone;3;202,8;70,8;103,605;92,369;-82,302;2,567;1,1;0,6;0,9;0
2026-01-29 10:42:15;S12;14;HOA3rdOrder;Tone;1;46,0;73,5;97,250;-75,093;-86,460;2,816;1,0;0,6;0,8;0
2026-01-29 10:42:25;S12;15;HOA4thOrder;Music;3;221,3;-1,9;106,045;-107,161;-8,622;4,070;1,2;0,8;0,8;0
2026-01-29 10:42:38;S12;16;Binaural;Tone;2;109,7;-8,7;30,839;31,052;3,115;7,470;1,6;0,9;1,3;0
2026-01-29 10:42:47;S12;17;HOA4thOrder;Tone;1;17,4;-14,3;21,609;-20,239;8,666;2,724;1,5;0,5;1,4;0
2026-01-29 10:42:56;S12;18;HOA4thOrder;Voice;1;74,3;81,9;100,578;-104,399;-93,120;3,331;1,0;0,5;0,6;0
2026-01-29 10:43:06;S12;19;Binaural;Music;2;122,6;-27,8;49,074;48,643;18,929;5,406;1,3;0,7;1,0;0
2026-01-29 10:43:14;S12;20;HOA3rdOrder;Voice;1;31,7;-40,4;63,048;-60,738;34,350;2,549;1,6;0,3;1,4;0
2026-01-29 10:43:23;S12;21;Binaural;Voice;2;132,6;7,6;71,417;69,944;-15,615;3,672;1,1;0,2;1,0;0
2026-01-29 10:43:29;S12;22;HOA4thOrder;Voice;3;269,0;76,4;90,183;36,295;-87,180;1,979;1,4;0,3;1,0;0
2026-01-29 10:43:40;S12;23;Binaural;Voice;3;184,9;24,9;38,737;16,740;-35,098;3,266;0,6;0,3;0,5;0
2026-01-29 10:43:48;S12;24;HOA3rdOrder;Tone;4;281,9;-9,5;19,823;19,926;-3,826;3,398;1,5;0,9;1,2;0
2026-01-29 10:43:55;S12;25;HOA3rdOrder;Voice;4;309,3;56,7;70,527;29,429;-66,032;2,748;1,5;0,3;1,3;0
2026-01-29 10:44:03;S12;26;HOA4thOrder;Music;2;92,2;-45,5;114,935;-152,132;35,920;3,673;1,5;1,3;1,1;0
2026-01-29 10:44:10;S12;27;HOA3rdOrder;Music;3;226,5;9,2;87,168;-85,581;-18,738;3,223;1,0;0,2;0,8;0
2026-01-29 10:44:19;S12;28;Binaural;Music;1;3,4;38,8;57,057;25,427;-51,841;3,578;1,7;0,2;1,3;0
2026-01-29 10:44:27;S12;29;HOA4thOrder;Tone;4;322,9;10,8;43,451;40,201;-16,852;2,836;1,6;1,0;1,2;0
2026-01-29 10:44:38;S12;30;Binaural;Tone;1;70,2;-27,9;41,904;-40,066;19,286;6,167;1,6;0,7;1,5;0
2026-01-29 10:44:45;S12;31;Binaural;Voice;1;12,0;19,2;48,894;-38,295;-31,049;2,908;2,2;1,7;1,5;0
2026-01-29 10:44:54;S12;32;HOA3rdOrder;Music;1;59,1;48,4;121,738;-122,715;-63,145;3,829;1,7;1,3;0,9;0
2026-01-29 10:45:15;S12;33;HOA3rdOrder;Music;4;332,9;57,6;75,207;-38,237;-68,269;8,169;2,7;2,6;0,5;0
2026-01-29 10:45:23;S12;34;Binaural;Voice;4;334,1;-45,7;61,187;55,751;38,704;3,065;0,7;0,5;0,4;0
2026-01-29 10:45:30;S12;35;HOA4thOrder;Tone;3;265,1;-2,1;63,592;-63,705;-8,784;2,860;1,2;0,7;1,1;0
2026-01-29 10:45:40;S12;36;Binaural;Music;3;231,5;87,1;107,995;-146,994;-99,298;4,481;1,4;0,5;1,3;0
